Script started on Sun Aug  4 19:50:52 2019
[?1034hbash-3.2$ screen ${DEVICENAME} 115200
[?1049h[!p[?3;4l[4l>[4l[?1h=[0m(B[1;24r[H[2J[H[2J!���s�ɥ����cc�wcw�CssC)cCsRɥ�����













 -,-,-
-798.0,407.0,474.0
-806.0,398.0,477.0
-802.0,352.0,390.0
-793.0,362.0,452.0
-797.0,349.0,507.0
-826.0,346.0,434.0
-819.0,370.0,450.0
-806.0,372.0,450.0
-824.0,380.0,440.0
-829.0,366.0,411.0
-856.0,347.0,435.0
-918.0,320.0,502.0
-922.0,300.0,603.0
-883.0,316.0,672.0
-754.0,192.0,554.0
-697.0,257.0,409.0
-582.0,281.0,312.0
-262.0,172.0,-30.0
-197.0,203.0,109.0
-103.0,194.0,217.0
8.0,212.0,708.0
54.0,192.0,836.0
33.0,-56.0,1298.0
-30.0,-196.0,1290.0
-136.0,-392.0,1294.0
-204.0,-384.0,1450.0
-220.0,-676.0,2040.0
-140.0,-666.0,2040.0
-12.0,-513.0,2040.0
258.0,-402.0,2040.0
346.0,-367.0,1922.0
387.0,-296.0,1558.0
230.0,-268.0,1012.0
208.0,-238.0,821.0
91.0,-177.0,454.0
-230.0,-184.0,-306.0
-311.0,-191.0,-329.0
-372.0,-85.0,-407.0
-406.0,-100.0,-224.0
-378.0,-66.0,-125.0
-267.0,-24.0,12.0
-68.0,52.0,432.0
-18.0,-35.0,511.0
33.0,-73.0,860.0
132.0,-200.0,1394.0
126.0,-145.0,1646.0
111.0,-149.0,1712.0
-4.0,-54.0,1952.0
5.0,-37.0,1939.0
2.0,39.0,1985.0
52.0,134.0,2040.0
98.0,97.0,1962.0
142.0,111.0,1847.0
224.0,34.0,1700.0
256.0,24.0,1603.0
274.0,24.0,1423.0
240.0,-154.0,1060.0
169.0,-187.0,843.0
53.0,-296.0,530.0
-438.0,-1276.0,-328.0
-389.0,-81.0,4.0
-441.0,43.0,386.0
-544.0,68.0,606.0
-623.0,16.0,352.0
-639.0,274.0,418.0
-742.0,192.0,1010.0
-687.0,264.0,931.0
-647.0,324.0,927.0
-626.0,18.0,982.0
-591.0,193.0,843.0
-591.0,235.0,808.0
-606.0,262.0,830.0
-597.0,280.0,788.0
-594.0,294.0,819.0
-570.0,326.0,864.0
-577.0,309.0,834.0
-553.0,340.0,763.0
-544.0,352.0,914.0
-550.0,324.0,854.0
-559.0,311.0,810.0
-578.0,290.0,668.0
-569.0,277.0,708.0
-569.0,340.0,762.0
-570.0,266.0,838.0
-588.0,282.0,838.0
-551.0,291.0,868.0
-550.0,272.0,904.0
-564.0,282.0,855.0
-561.0,252.0,856.0
-578.0,230.0,648.0
-571.0,254.0,748.0
-586.0,244.0,808.0


















 -,-,-
-766.0,544.0,739.0
-753.0,513.0,722.0
-660.0,492.0,784.0
-643.0,445.0,754.0
-662.0,449.0,619.0
-602.0,332.0,402.0
-518.0,328.0,284.0
-382.0,248.0,-49.0
-18.0,34.0,-142.0
83.0,8.0,90.0
214.0,12.0,246.0
354.0,-54.0,614.0
424.0,-167.0,757.0
393.0,-313.0,1046.0
396.0,-594.0,1564.0
374.0,-638.0,1798.0
339.0,-589.0,1919.0
268.0,-462.0,2040.0
304.0,-367.0,2040.0
390.0,-197.0,2040.0
510.0,-52.0,1752.0
519.0,-78.0,1701.0
560.0,-169.0,1601.0
486.0,-386.0,1216.0
421.0,-356.0,1010.0
294.0,-304.0,735.0
-26.0,-176.0,352.0
-88.0,-134.0,268.0
-159.0,-95.0,109.0
-312.0,-12.0,-158.0
-310.0,8.0,-91.0
-277.0,67.0,31.0
-146.0,48.0,246.0
-35.0,67.0,302.0
101.0,125.0,527.0
380.0,18.0,946.0
420.0,44.0,1124.0
431.0,-34.0,1325.0
400.0,-8.0,1750.0
383.0,-32.0,1879.0
365.0,-13.0,1941.0
332.0,100.0,1994.0
337.0,62.0,1945.0
361.0,66.0,1883.0
422.0,40.0,1760.0
451.0,26.0,1766.0
470.0,-12.0,1715.0
478.0,-100.0,1300.0
429.0,-102.0,1121.0
309.0,-76.0,872.0
14.0,-20.0,444.0
-55.0,-16.0,341.0
-154.0,25.0,292.0
-344.0,54.0,198.0
-376.0,65.0,207.0
-418.0,198.0,295.0
-568.0,212.0,756.0
-589.0,257.0,743.0
-586.0,321.0,761.0
-578.0,300.0,974.0
-549.0,424.0,934.0
-549.0,446.0,889.0
-568.0,402.0,748.0
-580.0,406.0,763.0
-569.0,426.0,769.0
-558.0,356.0,730.0
-552.0,399.0,661.0
-548.0,386.0,711.0
-542.0,470.0,998.0
-566.0,384.0,861.0
-558.0,401.0,851.0
-528.0,316.0,660.0
-536.0,364.0,721.0
-553.0,355.0,802.0
-582.0,350.0,740.0
-570.0,346.0,741.0
-557.0,318.0,861.0
-554.0,370.0,798.0
-547.0,391.0,831.0
-541.0,411.0,793.0
-540.0,384.0,796.0
-560.0,390.0,796.0
-577.0,390.0,740.0
-542.0,412.0,558.0
-536.0,414.0,574.0
-553.0,443.0,677.0
-560.0,356.0,750.0
-549.0,370.0,701.0
-545.0,392.0,777.0
-580.0,328.0,738.0
-580.0,391.0,735.0
-586.0,373.0,751.0


















 -,-,-
-648.0,260.0,815.0
-653.0,246.0,797.0
-634.0,252.0,698.0
-635.0,258.0,733.0
-632.0,265.0,738.0
-662.0,254.0,756.0
-676.0,255.0,762.0
-710.0,274.0,773.0
-724.0,288.0,864.0
-653.0,275.0,802.0
-591.0,220.0,640.0
-374.0,224.0,288.0
